Barcode,ProductName,Inspector,Location,Quantity,UoM,SellingPrice
234813_4_S,,234813,5B,8.0,,0.0
234813_4_M,,234813,5B,23.0,,0.0
234813_4_L,,234813,5B,24.0,,0.0
234813_4_3XL,,234813,5B,3.0,,0.0
234813_4_2XL,,234813,5B,13.0,,0.0
234813_4_XL,,234813,5B,14.0,,0.0
234813_2_M,,234813,5B,9.0,,0.0
234813_2_S,,234813,5B,6.0,,0.0
234813_2_2XL,,234813,5B,10.0,,0.0
234813_23_S,,234813,5B,24.0,,0.0
234813_23_M,,234813,5B,37.0,,0.0
234813_23_L,,234813,5B,42.0,,0.0
234813_23_XL,,234813,5B,36.0,,0.0
234813_23_3XL,,234813,5B,13.0,,0.0
234813_23_2XL,,234813,5B,28.0,,0.0
234813_0_S,,234813,5B,22.0,,0.0
234813_0_M,,234813,5B,29.0,,0.0
234813_0_L,,234813,5B,30.0,,0.0
234813_0_XL,,234813,5B,41.0,,0.0
234813_0_3XL,,234813,5B,8.0,,0.0
234813_0_2XL,,234813,5B,33.0,,0.0
234813_10_M,,234813,5B,25.0,,0.0
234813_10_S,,234813,5B,13.0,,0.0
234813_10_L,,234813,5B,38.0,,0.0
234813_10_3XL,,234813,5B,6.0,,0.0
234813_10_2XL,,234813,5B,21.0,,0.0
234813_10_XL,,234813,5B,7.0,,0.0
234813_25_S,,234813,5B,17.0,,0.0
234813_25_M,,234813,5B,28.0,,0.0
234813_25_L,,234813,5B,21.0,,0.0
234813_25_XL,,234813,5B,31.0,,0.0
234813_25_3XL,,234813,5B,8.0,,0.0
234813_25_2XL,,234813,5B,20.0,,0.0
234813_5_S,,234813,5B,38.0,,0.0
234813_5_M,,234813,5B,90.0,,0.0
234813_5_L,,234813,5B,97.0,,0.0
234813_5_XL,,234813,5B,63.0,,0.0
234813_5_2XL,,234813,5B,56.0,,0.0
234813_5_3XL,,234813,5B,18.0,,0.0
234139_23_L,,234813,5B,12.0,,0.0
234139_23_3XL,,234813,5B,1.0,,0.0
234139_23_2XL,,234813,5B,9.0,,0.0
234139_23_XL,,234813,5B,7.0,,0.0
234706_0_M,,234813,5B,18.0,,0.0
234706_0_XL,,234813,5B,3.0,,0.0
234706_0_L,,234813,5B,5.0,,0.0
231187_2_L,,234813,5B,13.0,,0.0
231187_2_M,,234813,5B,13.0,,0.0
231187_2_XL,,234813,5B,13.0,,0.0
231187_2_2XL,,234813,5B,1.0,,0.0
231187_8_L,,234813,5B,8.0,,0.0
231187_8_M,,234813,5B,10.0,,0.0
231187_8_2XL,,234813,5B,2.0,,0.0
231187_8_XL,,234813,5B,3.0,,0.0
231188_4_M,,234813,5B,10.0,,0.0
231188_4_S,,234813,5B,3.0,,0.0
231188_4_XL,,234813,5B,11.0,,0.0
231188_4_L,,234813,5B,9.0,,0.0
231188_4_3XL,,234813,5B,2.0,,0.0
231188_4_2XL,,234813,5B,3.0,,0.0
231188_10_M,,234813,5B,21.0,,0.0
231188_10_S,,234813,5B,7.0,,0.0
231188_10_L,,234813,5B,22.0,,0.0
231188_10_3XL,,234813,5B,1.0,,0.0
231188_10_2XL,,234813,5B,11.0,,0.0
231188_10_XL,,234813,5B,17.0,,0.0
231187_4_L,,234813,5B,10.0,,0.0
231187_4_M,,234813,5B,11.0,,0.0
231187_4_S,,234813,5B,5.0,,0.0
231187_4_3XL,,234813,5B,4.0,,0.0
231187_4_2XL,,234813,5B,8.0,,0.0
231187_4_XL,,234813,5B,12.0,,0.0
231187_5_M,,234813,5B,20.0,,0.0
231187_5_S,,234813,5B,7.0,,0.0
231187_5_XL,,234813,5B,17.0,,0.0
231187_5_L,,234813,5B,19.0,,0.0
231187_5_3XL,,234813,5B,6.0,,0.0
231187_5_2XL,,234813,5B,10.0,,0.0
231188_2_S,,234813,5B,1.0,,0.0
