Barcode,ProductName,Inspector,Location,Quantity,UoM,SellingPrice
134535_3_M,,134535,F5,1.0,,0.0
134535_3_S,,134535,F5,6.0,,0.0
134535_3_XL,,134535,F5,12.0,,0.0
134535_3_L,,134535,F5,1.0,,0.0
134535_3_3XL,,134535,F5,4.0,,0.0
134535_3_2XL,,134535,F5,3.0,,0.0
134535_12_S,,134535,F5,22.0,,0.0
134535_12_M,,134535,F5,41.0,,0.0
134535_12_L,,134535,F5,24.0,,0.0
134535_12_XL,,134535,F5,17.0,,0.0
134535_12_4XL,,134535,F5,1.0,,0.0
134535_12_3XL,,134535,F5,1.0,,0.0
134535_12_2XL,,134535,F5,8.0,,0.0
134535_8_2XL,,134535,F5,7.0,,0.0
134535_8_3XL,,134535,F5,1.0,,0.0
134535_2_S,,134535,F5,19.0,,0.0
134535_2_M,,134535,F5,11.0,,0.0
134535_2_XL,,134535,F5,1.0,,0.0
134535_2_2XL,,134535,F5,3.0,,0.0
134535_2_3XL,,134535,F5,3.0,,0.0
134535_8_M,,134535,F5,12.0,,0.0
134535_0_S,,134535,F5,2.0,,0.0
134535_0_M,,134535,F5,9.0,,0.0
134535_0_XL,,134535,F5,6.0,,0.0
134535_0_L,,134535,F5,11.0,,0.0
134535_0_3XL,,134535,F5,3.0,,0.0
134535_0_4XL,,134535,F5,7.0,,0.0
134535_0_2XL,,134535,F5,11.0,,0.0
134535E_3_2XL,,134535,F5,2.0,,0.0
134535E_3_M,,134535,F5,3.0,,0.0
134535E_2_4XL,,134535,F5,7.0,,0.0
134535_2_4XL,,134535,F5,1.0,,0.0
134535E_2_3XL,,134535,F5,7.0,,0.0
134535E_2_2XL,,134535,F5,3.0,,0.0
134535E_12_L,,134535,F5,12.0,,0.0
134535E_12_M,,134535,F5,12.0,,0.0
134535E_12_S,,134535,F5,7.0,,0.0
134535E_12_3XL,,134535,F5,7.0,,0.0
134535E_12_4XL,,134535,F5,1.0,,0.0
134535E_12_2XL,,134535,F5,3.0,,0.0
134535E_12_XL,,134535,F5,6.0,,0.0
134535E_0_4XL,,134535,F5,2.0,,0.0
134535E_0_3XL,,134535,F5,7.0,,0.0
134535E_0_2XL,,134535,F5,9.0,,0.0
134535E_0_XL,,134535,F5,1.0,,0.0
134535E_0_M,,134535,F5,6.0,,0.0
134535E_8_S,,134535,F5,14.0,,0.0
134535E_8_L,,134535,F5,8.0,,0.0
134535E_8_M,,134535,F5,21.0,,0.0
134535E_8_XL,,134535,F5,13.0,,0.0
134535E_8_4XL,,134535,F5,8.0,,0.0
134535E_8_3XL,,134535,F5,1.0,,0.0
134535E_8_2XL,,134535,F5,4.0,,0.0
134535E_5_S,,134535,F5,33.0,,0.0
134535_5_S,,134535,F5,2.0,,0.0
134535E_5_M,,134535,F5,55.0,,0.0
134535E_5_L,,134535,F5,32.0,,0.0
134535E_5_XL,,134535,F5,21.0,,0.0
134535E_5_4XL,,134535,F5,5.0,,0.0
134535E_5_3XL,,134535,F5,6.0,,0.0
134535E_5_2XL,,134535,F5,13.0,,0.0
134535E_11_4XL,,134535,F5,1.0,,0.0
134535E_11_3XL,,134535,F5,9.0,,0.0
134535E_11_2XL,,134535,F5,14.0,,0.0
134535E_11_XL,,134535,F5,12.0,,0.0
134535_11_XL,,134535,F5,1.0,,0.0
134535E_11_L,,134535,F5,13.0,,0.0
134535E_11_M,,134535,F5,40.0,,0.0
134535E_11_S,,134535,F5,30.0,,0.0
