Barcode,ProductName,Inspector,Location,Quantity,UoM,SellingPrice
131080_5_S,,131080,F5,22.0,,0.0
131080_5_M,,131080,F5,28.0,,0.0
131080_5_L,,131080,F5,48.0,,0.0
131080_5_XL,,131080,F5,12.0,,0.0
131080_5_2XL,,131080,F5,11.0,,0.0
131080_4_3XL,,131080,F5,2.0,,0.0
131080_4_2XL,,131080,F5,8.0,,0.0
131080_4_XL,,131080,F5,21.0,,0.0
131080_4_L,,131080,F5,35.0,,0.0
131080_4_M,,131080,F5,29.0,,0.0
131080_4_S,,131080,F5,23.0,,0.0
131080_7_2XL,,131080,F5,3.0,,0.0
131080_7_XL,,131080,F5,4.0,,0.0
131080_7_L,,131080,F5,11.0,,0.0
131080_7_M,,131080,F5,3.0,,0.0
131080_7_S,,131080,F5,5.0,,0.0
133114_4_M,,131080,F5,14.0,,0.0
133114_4_S,,131080,F5,8.0,,0.0
133114_4_3XL,,131080,F5,1.0,,0.0
133114_4_2XL,,131080,F5,3.0,,0.0
133114_4_XL,,131080,F5,7.0,,0.0
133114_4_L,,131080,F5,14.0,,0.0
133113_10_2XL,,131080,F5,1.0,,0.0
133113_10_XL,,131080,F5,6.0,,0.0
133113_10_L,,131080,F5,4.0,,0.0
133113_10_M,,131080,F5,2.0,,0.0
133113E_10_XL,,131080,F5,1.0,,0.0
133113E_10_L,,131080,F5,3.0,,0.0
133113_7_M,,131080,F5,19.0,,0.0
133113_7_S,,131080,F5,6.0,,0.0
133113_7_L,,131080,F5,18.0,,0.0
133113E_7_L,,131080,F5,2.0,,0.0
133113_7_XL,,131080,F5,11.0,,0.0
133113_7_2XL,,131080,F5,11.0,,0.0
133113_4_M,,131080,F5,5.0,,0.0
133113_4_S,,131080,F5,9.0,,0.0
133113_4_XL,,131080,F5,13.0,,0.0
133113_4_L,,131080,F5,8.0,,0.0
133113E_4_L,,131080,F5,2.0,,0.0
133113_2_2XL,,131080,F5,5.0,,0.0
133113_2_XL,,131080,F5,3.0,,0.0
133113_2_L,,131080,F5,3.0,,0.0
133113_2_M,,131080,F5,1.0,,0.0
133114E_4_XL,,131080,F5,1.0,,0.0
133114E_4_L,,131080,F5,2.0,,0.0
133113E_2_XL,,131080,F5,3.0,,0.0
133113E_2_L,,131080,F5,2.0,,0.0
133113E_2_M,,131080,F5,3.0,,0.0
133113E_7_S,,131080,F5,3.0,,0.0
133113E_7_M,,131080,F5,1.0,,0.0
134201_13_2XL,,131080,F5,1.0,,0.0
134201_13_XL,,131080,F5,8.0,,0.0
134201_13_M,,131080,F5,8.0,,0.0
134201_13_S,,131080,F5,8.0,,0.0
134201_4_S,,131080,F5,18.0,,0.0
134201_4_M,,131080,F5,22.0,,0.0
134201_4_XL,,131080,F5,7.0,,0.0
134201_4_L,,131080,F5,11.0,,0.0
134201_4_3XL,,131080,F5,5.0,,0.0
134201_4_2XL,,131080,F5,6.0,,0.0
134105_3_M,,131080,F5,15.0,,0.0
134105_3_S,,131080,F5,3.0,,0.0
134105_3_L,,131080,F5,17.0,,0.0
134105_3_XL,,131080,F5,16.0,,0.0
134105_3_2XL,,131080,F5,6.0,,0.0
134105E_3_2XL,,131080,F5,1.0,,0.0
134105E_3_XL,,131080,F5,1.0,,0.0
134105E_3_L,,131080,F5,4.0,,0.0
134105E_11_M,,131080,F5,4.0,,0.0
_11_S,,131080,F5,1.0,,0.0
134105E_11_S,,131080,F5,1.0,,0.0
134105_11_M,,131080,F5,15.0,,0.0
134105_11_S,,131080,F5,9.0,,0.0
134105_11_2XL,,131080,F5,2.0,,0.0
134105E_11_XL,,131080,F5,1.0,,0.0
134105_11_XL,,131080,F5,3.0,,0.0
134101_2_M,,131080,F5,5.0,,0.0
134101_2_S,,131080,F5,10.0,,0.0
131020ST_2_L,,131080,F5,14.0,,0.0
131020ST_2_M,,131080,F5,4.0,,0.0
131020ST_2_S,,131080,F5,2.0,,0.0
131020ST_2_XL,,131080,F5,17.0,,0.0
131020ST_2_3XL,,131080,F5,4.0,,0.0
131020ST_2_2XL,,131080,F5,11.0,,0.0
133133E_2_M,,131080,F5,26.0,,0.0
133133_2_M,,131080,F5,1.0,,0.0
133133E_2_S,,131080,F5,3.0,,0.0
133133E_2_L,,131080,F5,29.0,,0.0
133133E_2_3XL,,131080,F5,1.0,,0.0
133133E_2_2XL,,131080,F5,9.0,,0.0
133133E_2_XL,,131080,F5,14.0,,0.0
133133_2_S,,131080,F5,26.0,,0.0
133133_2_L,,131080,F5,6.0,,0.0
