Barcode,ProductName,Inspector,Location,Quantity,UoM,SellingPrice
131404_5_S,,131404,F5,35.0,,0.0
131404_5_M,,131404,F5,55.0,,0.0
131404_5_L,,131404,F5,41.0,,0.0
131404_5_XL,,131404,F5,28.0,,0.0
131404_5_2XL,,131404,F5,21.0,,0.0
131404_5_3XL,,131404,F5,9.0,,0.0
131404_8_4XL,,131404,F5,5.0,,0.0
131404_8_3XL,,131404,F5,4.0,,0.0
131404_8_M,,131404,F5,13.0,,0.0
131404E_8_L,,131404,F5,1.0,,0.0
131404E_8_S,,131404,F5,15.0,,0.0
131404E_5_M,,131404,F5,6.0,,0.0
131404E_5_S,,131404,F5,10.0,,0.0
131404E_5_XL,,131404,F5,1.0,,0.0
131404E_5_L,,131404,F5,9.0,,0.0
131404_9_S,,131404,F5,35.0,,0.0
131404_9_XL,,131404,F5,11.0,,0.0
131404_9_M,,131404,F5,1.0,,0.0
131404E_9_M,,131404,F5,4.0,,0.0
131404E_9_S,,131404,F5,13.0,,0.0
131404E_2_3XL,,131404,F5,4.0,,0.0
131404E_2_M,,131404,F5,3.0,,0.0
131404E_2_S,,131404,F5,6.0,,0.0
131404_2_3XL,,131404,F5,6.0,,0.0
131404_2_M,,131404,F5,7.0,,0.0
131404_2_S,,131404,F5,40.0,,0.0
